,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
95,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,13.0,0.14285714285714285,^1:2,58.0,53.0,0,1,3.0,48.0,0.0,20181017124113.0,11086^21078,0.625,1.2
96,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,130.5,0.7692307692307693,130.5,0.9090909090909091,13.0,0.15384615384615385,2:2,58.0,55.0,0,1,3.0,48.0,0.0,20181017124142.0,21079.0,0.625,1.2
97,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,130.5,0.7692307692307693,130.5,0.9090909090909091,13.0,0.15384615384615385,2:2,58.0,55.0,0,1,3.0,48.0,1.0,20181017124145.0,21079.0,0.625,1.2
98,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,130.5,0.7692307692307693,130.5,0.9090909090909091,13.0,0.15384615384615385,,58.0,55.0,0,1,3.0,48.0,1.0,20181017124146.0,11077.0,0.625,1.2
99,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,0.9090909090909091,127.5,0.7692307692307693,13.0,0.15384615384615385,,58.0,55.0,0,1,3.0,39.0,1.0,20181017124154.0,11077.0,0.625,1.2
100,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,0.9090909090909091,127.5,0.7692307692307693,13.0,0.1111111111111111,^,60.0,55.0,0,1,3.0,34.0,1.0,20181017124200.0,11074^21077,0.625,1.2
101,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,0.7692307692307693,127.5,0.9090909090909091,13.0,0.1111111111111111,,60.0,55.0,0,1,3.0,30.0,1.0,20181017124203.0,21077.0,0.625,1.2
102,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,0.7142857142857143,127.5,1.0,13.0,0.1111111111111111,,60.0,55.0,0,1,3.0,29.0,1.0,20181017124204.0,21077.0,0.625,1.2
103,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,0.7142857142857143,127.5,1.0,13.0,0.10526315789473684,,60.0,55.0,0,1,3.0,20.0,1.0,20181017124212.0,21077.0,0.625,1.2
104,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,1.0,127.5,0.7142857142857143,13.0,0.10526315789473684,,60.0,55.0,0,1,3.0,12.0,1.0,20181017124221.0,21077.0,0.625,1.2
105,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,1.0,127.5,0.7142857142857143,13.0,0.0625,,60.0,55.0,0,1,3.0,7.0,1.0,20181017124227.0,11077.0,0.625,1.2
106,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,1.0,127.5,0.7142857142857143,10.0,0.0625,,60.0,55.0,0,1,2.0,58.0,1.0,20181017124235.0,11077.0,0.625,1.2
107,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,1.0,127.5,0.7142857142857143,10.0,0.03571428571428571,^,62.0,55.0,0,1,2.0,53.0,1.0,20181017124240.0,11074^21077,0.625,1.2
108,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,1.0,127.5,0.7142857142857143,10.0,0.03571428571428571,^,62.0,55.0,0,1,2.0,52.0,0.0,20181017124241.0,11074^21077,0.625,1.2
109,44.0,5.0,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,1.0,127.5,0.7142857142857143,10.0,0.03571428571428571,,62.0,55.0,0,1,2.0,52.0,0.0,20181017124250.0,21081.0,0.625,1.2
110,44.0,5.0,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,1.0,127.5,0.7142857142857143,10.0,0.03571428571428571,^,62.0,55.0,0,1,2.0,52.0,0.0,20181017124251.0,21077^21081,0.625,1.2
111,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,1.0,127.5,0.7142857142857143,10.0,0.03571428571428571,^,62.0,55.0,0,1,2.0,52.0,1.0,20181017124413.0,21077^21081,0.625,1.2
112,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,1.0,127.5,0.7142857142857143,10.0,0.03571428571428571,,62.0,55.0,0,1,2.0,43.0,1.0,20181017124421.0,21077.0,0.625,1.2
113,,,4.0,-1.5,0.8333333333333334,-4.5,0.7692307692307693,127.5,1.0,127.5,0.7142857142857143,10.0,0.030303030303030304,,62.0,55.0,0,1,2.0,35.0,1.0,20181017124430.0,21077.0,0.625,1.2
