,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
69,,3.0,-25.5,0.8695652173913043,25.5,0.8,159.5,0.7692307692307693,159.5,0.9090909090909091,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,4.0,30.0,0.0,20181019141210.0,21077.0,0.004,17.0
70,,3.0,-24.5,0.8695652173913043,24.5,0.8,159.5,0.7692307692307693,159.5,0.9090909090909091,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,4.0,30.0,1.0,20181019141241.0,11077.0,0.004,17.0
71,,3.0,-24.5,0.8695652173913043,24.5,0.8,158.5,0.8333333333333334,158.5,0.8333333333333334,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,4.0,22.0,1.0,20181019141249.0,11077.0,0.004,17.0
72,,3.0,-24.5,0.8695652173913043,24.5,0.8,157.5,0.8695652173913043,157.5,0.8,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,4.0,14.0,1.0,20181019141258.0,11077.0,0.004,17.0
73,,3.0,-25.5,0.8695652173913043,24.5,0.8,157.5,0.8333333333333334,157.5,0.8333333333333334,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,4.0,10.0,1.0,20181019141301.0,11077.0,0.004,17.0
74,,3.0,-25.5,0.8695652173913043,25.5,0.8,157.5,0.7692307692307693,157.5,0.9090909090909091,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,4.0,2.0,1.0,20181019141309.0,21077.0,0.004,17.0
75,,3.0,-25.5,0.8695652173913043,25.5,0.8,156.5,0.8333333333333334,156.5,0.8333333333333334,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,3.0,54.0,1.0,20181019141317.0,21077.0,0.004,17.0
76,,3.0,-24.5,0.9090909090909091,24.5,0.7692307692307693,156.5,0.8333333333333334,156.5,0.8333333333333334,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,3.0,52.0,1.0,20181019141319.0,11077.0,0.004,17.0
77,,3.0,-24.5,0.9090909090909091,24.5,0.7692307692307693,156.5,0.7692307692307693,156.5,0.9090909090909091,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,3.0,48.0,0.0,20181019141323.0,11077.0,0.004,17.0
78,,3.0,-24.5,0.9090909090909091,24.5,0.7692307692307693,156.5,0.7692307692307693,156.5,0.9090909090909091,3.0,,^,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,2.0,41.7,93.8,41.0,62.0,0,1,3.0,48.0,0.0,20181019141323.0,21086^11077,0.004,17.0
79,,3.0,-24.5,0.9090909090909091,24.5,0.7692307692307693,156.5,0.8695652173913043,156.5,0.8,3.0,,1:2^2:2,,8.0,5.0,6.0,16.0,6.0,15.0,5,5,3.0,2.0,46.2,93.8,42.0,62.0,0,1,3.0,48.0,0.0,20181019141323.0,11079^11078,0.004,17.0
80,,3.0,-24.5,0.8695652173913043,24.5,0.8,158.5,0.8333333333333334,158.5,0.8333333333333334,3.0,,2:2^,,8.0,5.0,6.0,16.0,7.0,15.0,5,5,3.0,2.0,50.0,93.8,43.0,62.0,0,1,3.0,48.0,0.0,20181019141323.0,11079^21077,0.004,17.0
81,,3.0,-24.5,0.8695652173913043,24.5,0.8,158.5,0.8333333333333334,158.5,0.8333333333333334,3.0,,2:2^,,8.0,5.0,6.0,16.0,7.0,15.0,5,5,3.0,2.0,50.0,93.8,43.0,62.0,0,1,3.0,48.0,1.0,20181019141419.0,11079^21077,0.004,17.0
82,,3.0,-24.5,0.8695652173913043,24.5,0.8,157.5,0.8695652173913043,157.5,0.8,3.0,,2:2^,,8.0,5.0,6.0,16.0,7.0,15.0,5,5,3.0,2.0,50.0,93.8,43.0,62.0,0,1,3.0,40.0,1.0,20181019141428.0,11079^21077,0.004,17.0
83,,3.0,-24.5,0.9090909090909091,24.5,0.7692307692307693,157.5,0.8,157.5,0.8695652173913043,3.0,,2:2^,,8.0,5.0,6.0,16.0,7.0,15.0,5,5,3.0,2.0,50.0,93.8,43.0,62.0,0,1,3.0,32.0,1.0,20181019141436.0,11079^21077,0.004,17.0
84,,3.0,-24.5,0.9090909090909091,24.5,0.7692307692307693,157.5,0.8,157.5,0.8695652173913043,3.0,,2:2^,,8.0,5.0,6.0,16.0,7.0,15.0,5,5,3.0,2.0,50.0,93.8,43.0,62.0,0,1,3.0,32.0,0.0,20181019141436.0,11079^21077,0.004,17.0
