,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
135,,,,第1节,2.5,0.83,-2.5,0.83,132.5,0.83,132.5,0.83,2.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
136,,,,第1节,2.5,0.83,-1.5,0.83,132.5,0.83,132.5,0.83,-1.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
137,,,,第1节,1.5,0.83,-1.5,0.83,132.5,0.83,132.5,0.83,1.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
138,,,,第1节,1.5,0.87,-2.5,0.8,132.5,0.83,132.5,0.83,-2.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
139,,,,第1节,2.5,0.87,-2.5,0.8,132.5,0.83,132.5,0.83,2.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
140,,,,第1节,2.5,0.87,-2.5,0.8,132.5,0.83,132.5,0.83,2.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
141,,,,第1节,2.5,0.87,-2.5,0.8,132.5,0.83,132.5,0.83,2.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
142,,,,第1节,2.5,0.83,-4.5,0.83,132.5,0.83,132.5,0.83,-4.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
143,,,,第1节,4.5,0.83,-4.5,0.83,132.5,0.83,132.5,0.83,4.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
144,,,,第1节,4.5,0.83,-5.5,0.83,132.5,0.83,132.5,0.83,-5.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
145,,,,第1节,5.5,0.83,-5.5,0.83,132.5,0.83,132.5,0.83,5.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
146,,,,第1节,5.5,0.83,-5.5,0.83,132.5,0.83,132.5,0.83,5.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
