,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
69,Q4,4th Quarter,-4.5,0.8695652173913043,4.5,0.8,101.5,0.8333333333333334,101.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,7.0,32.0,1.0,20181108151824.0,01090^11077,0.2857142857142857,2.5
70,Q4,4th Quarter,-4.5,0.8333333333333334,4.5,0.8333333333333334,101.5,0.7142857142857143,101.5,1.0,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,7.0,24.0,1.0,20181108151832.0,01090^11077,0.26666666666666666,2.65
71,Q4,4th Quarter,-4.5,0.8333333333333334,4.5,0.8333333333333334,100.5,1.0,100.5,0.7142857142857143,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,7.0,22.0,0.0,20181108151834.0,01090^11077,0.26666666666666666,2.65
72,Q4,4th Quarter,-4.5,0.8333333333333334,4.5,0.8333333333333334,100.5,1.0,100.5,0.7142857142857143,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,7.0,22.0,1.0,20181108151909.0,01090^11077,0.26666666666666666,2.65
73,Q4,4th Quarter,-4.5,0.8333333333333334,4.5,0.8333333333333334,100.5,0.8333333333333334,100.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,7.0,14.0,1.0,20181108151917.0,01090^11077,0.26666666666666666,2.65
74,Q4,4th Quarter,-4.5,0.8333333333333334,4.5,0.8333333333333334,100.5,0.7142857142857143,100.5,1.0,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,7.0,6.0,1.0,20181108151925.0,01090^11077,0.25,2.75
75,Q4,4th Quarter,-4.5,0.8333333333333334,4.5,0.8333333333333334,99.5,0.8333333333333334,99.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,6.0,58.0,1.0,20181108151933.0,01090^11077,0.25,2.75
76,Q4,4th Quarter,-4.5,0.8333333333333334,4.5,0.8333333333333334,99.5,0.7142857142857143,99.5,1.0,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,6.0,49.0,1.0,20181108151942.0,01090^11077,0.23529411764705882,2.85
77,Q4,4th Quarter,-4.5,0.8,4.5,0.8695652173913043,98.5,0.8333333333333334,98.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,6.0,41.0,1.0,20181108151950.0,01090^11077,0.23529411764705882,2.85
78,Q4,4th Quarter,-5.5,0.8333333333333334,5.5,0.8333333333333334,98.5,0.8333333333333334,98.5,0.8333333333333334,,4.0,,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,6.0,39.0,1.0,20181108151952.0,21077.0,0.16666666666666666,3.5
79,Q4,4th Quarter,-5.5,0.8333333333333334,5.5,0.8333333333333334,98.5,0.7142857142857143,98.5,1.0,,4.0,,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,6.0,30.0,1.0,20181108152000.0,21077.0,0.16666666666666666,3.5
80,Q4,4th Quarter,-6.5,0.8,6.5,0.8695652173913043,99.5,0.8333333333333334,99.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,13.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,45,0,1,6.0,23.0,1.0,20181108152008.0,21074^11077,0.1111111111111111,5.0
81,Q4,4th Quarter,-6.5,0.8,6.5,0.8695652173913043,99.5,0.8333333333333334,99.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,13.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,45,0,1,6.0,15.0,1.0,20181108152016.0,21074^11077,0.1111111111111111,5.0
82,Q4,4th Quarter,-6.5,0.8,6.5,0.8695652173913043,98.5,0.8333333333333334,98.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,13.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,45,0,1,6.0,7.0,1.0,20181108152024.0,21074^11077,0.10526315789473684,5.25
83,Q4,4th Quarter,-6.5,0.7692307692307693,6.5,0.9090909090909091,98.5,0.8333333333333334,98.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,13.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,45,0,1,5.0,59.0,1.0,20181108152032.0,21074^11077,0.1,5.5
