,AM,AS,CU,DC,ED,MD,PG,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,UC,VC
79,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,12.0,12.0,19.0,0,1,0.0,18.0,0.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
80,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,13.0,13.0,19.0,0,1,0.0,18.0,0.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
81,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,20.0,13.0,20.0,0,1,0.0,18.0,0.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
82,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,20.0,13.0,20.0,0,1,0.0,18.0,1.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
83,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,4.0,0.0,6.0,0.0,0.0,15.0,15.0,20.0,0,1,0.0,18.0,1.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11074.0
84,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,4.0,0.0,6.0,0.0,0.0,15.0,15.0,20.0,0,1,0.0,2.0,0.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11074.0
85,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,2.0,0.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21074.0
86,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,2.0,1.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21074.0
87,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,2.0,1.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
88,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,2.0,1.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
89,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,2.0,1.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
90,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,2.0,1.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
91,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,2.0,1.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
92,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,2.0,1.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
93,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,2.0,1.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
94,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,2.0,1.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
95,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,2.0,1.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
96,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,2.0,1.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
97,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,0.0,0.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
98,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,0.0,0.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
99,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,0.0,0.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
100,44.0,5.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,0.0,,4.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,22.0,15.0,22.0,0,1,0.0,0.0,0.0,19000101000000.0,At end of 4th Quarter Enisey-pro 3x3 15-22 Akhmat-pro 3x3,1084.0
