,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
65,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,50.0,1.0,20180519004417.0,11077.0,0.0,0.0
66,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,50.0,0.0,20180519004417.0,11077.0,0.0,0.0
67,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,44.0,0.0,20180519004423.0,11077.0,0.0,0.0
68,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,44.0,0.0,20180519004423.0,11086.0,0.0,0.0
69,,,,第1节,-18.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,-18.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,44.0,0.0,20180519004423.0,21077.0,0.0,0.0
70,,,,第1节,18.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,18.5,1.0,,1:2,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,44.0,0.0,20180519004423.0,21078.0,0.0,0.0
71,,,,第1节,18.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,18.5,1.0,,1:2,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,44.0,0.0,20180519004423.0,21080.0,0.0,0.0
72,,,,第1节,-19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,-19.5,1.0,,2:2,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,44.0,0.0,20180519004423.0,21078.0,0.0,0.0
73,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,2:2,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,44.0,0.0,20180519004423.0,21080.0,0.0,0.0
74,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,44.0,1.0,20180519004504.0,11077.0,0.0,0.0
75,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,44.0,1.0,20180519004504.0,11077.0,0.0,0.0
76,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,34.0,1.0,20180519004510.0,11077.0,0.0,0.0
77,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,34.0,1.0,20180519004510.0,11077.0,0.0,0.0
78,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,28.0,1.0,20180519004516.0,11077.0,0.0,0.0
79,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,28.0,1.0,20180519004516.0,11077.0,0.0,0.0
80,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,28.0,1.0,20180519004518.0,11077.0,0.0,0.0
81,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,7.0,GD,28.0,1.0,20180519004518.0,11075.0,0.0,0.0
82,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,12.0,0.0,1.0,7.0,GD,28.0,1.0,20180519004518.0,21077.0,0.0,0.0
83,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,12.0,0.0,1.0,7.0,GD,24.0,1.0,20180519004521.0,21077.0,0.0,0.0
84,,,,第1节,-22.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,-22.5,1.0,0.87,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,12.0,0.0,1.0,7.0,GD,24.0,1.0,20180519004521.0,21077.0,0.0,0.0
85,,,,第1节,22.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,22.5,1.0,0.8,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,12.0,0.0,1.0,7.0,GD,22.0,1.0,20180519004524.0,21077.0,0.0,0.0
86,,,,第1节,-21.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,-21.5,1.0,0.8,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,12.0,0.0,1.0,7.0,GD,22.0,1.0,20180519004524.0,21077.0,0.0,0.0
87,,,,第1节,21.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,21.5,1.0,0.87,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,12.0,0.0,1.0,7.0,GD,13.0,1.0,20180519004531.0,21077.0,0.0,0.0
88,,,,第1节,-22.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,-22.5,1.0,0.83,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,12.0,0.0,1.0,7.0,GD,13.0,1.0,20180519004531.0,11077.0,0.0,0.0
89,,,,第1节,22.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,22.5,1.0,0.83,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,12.0,0.0,1.0,7.0,GD,8.0,1.0,20180519004537.0,11077.0,0.0,0.0
90,,,,第1节,22.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,22.5,1.0,0.83,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,12.0,0.0,1.0,7.0,GD,8.0,1.0,20180519004537.0,11077.0,0.0,0.0
91,,,,第1节,22.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,22.5,1.0,0.83,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,12.0,0.0,1.0,7.0,GD,2.0,1.0,20180519004543.0,11077.0,0.0,0.0
92,,,,第1节,22.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,22.5,1.0,0.83,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,12.0,0.0,1.0,7.0,GD,2.0,1.0,20180519004543.0,11074.0,0.0,0.0
93,,,,第1节,22.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,22.5,1.0,0.83,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,14.0,0.0,1.0,7.0,GD,2.0,1.0,20180519004543.0,21077.0,0.0,0.0
94,,,,第1节,-23.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,-23.5,1.0,0.83,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,14.0,0.0,1.0,7.0,GD,2.0,1.0,20180519004543.0,21077.0,0.0,0.0
95,,,,第1节,23.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,23.5,1.0,0.83,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,14.0,0.0,1.0,7.0,GD,2.0,1.0,20180519004545.0,21077.0,0.0,0.0
