,AM,AS,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,MD,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
81,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,9.0,1.0,20180721120357.0,11077.0,,1.25,0.0
82,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,5.0,0.0,20180721120401.0,11077.0,,1.25,0.0
83,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,5.0,0.0,20180721120401.0,11077.0,,1.25,0.0
84,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,5.0,0.0,20180721120403.0,11077.0,,1.25,0.0
85,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,152.5,0.83,153.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,5.0,0.0,20180721120403.0,21086.0,,1.25,0.0
86,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,5.0,0.0,20180721120404.0,21086.0,,1.25,0.0
87,,,,,,9.5,0.83,-9.5,0.83,153.5,0.83,153.5,0.83,9.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,5.0,0.0,20180721120404.0,21086.0,,1.25,0.0
88,,,,,,9.5,0.83,-9.5,0.83,153.5,0.83,153.5,0.83,-9.5,,,0.0,1:2,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,5.0,0.0,20180721120405.0,11078.0,,1.25,0.0
89,,,,,,9.5,0.83,-9.5,0.83,153.5,0.83,153.5,0.83,-9.5,,,0.0,1:2,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,10.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,5.0,0.0,20180721120405.0,11078.0,,1.25,0.0
90,,,,,,9.5,0.83,-9.5,0.83,153.5,0.83,153.5,0.83,-9.5,,,0.0,1:2,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,10.0,10.0,2.0,0.0,0.0,1,7.0,1~GD,5.0,0.0,20180721120434.0,11078.0,,1.25,0.0
91,,,,,,9.5,0.87,-9.5,0.8,154.5,0.83,153.5,0.83,154.5,,,0.0,1:2^2:2,0.0,,1.0,3.0,1.0,5.0,1.0,100.0,10.0,10.0,2.0,0.0,0.0,1,7.0,1~GD,5.0,0.0,20180721120434.0,11079^11078,,1.25,0.0
92,,,,,,9.5,0.87,-9.5,0.8,154.5,0.83,154.5,0.83,154.5,,,0.0,1:2^2:2,0.0,,1.0,3.0,1.0,5.0,1.0,100.0,11.0,11.0,2.0,0.0,0.0,1,7.0,1~GD,5.0,0.0,20180721120448.0,11079^11078,,1.25,0.0
93,,,,,,10.5,0.83,-10.5,0.8,154.5,0.83,154.5,0.83,10.5,,,0.0,1:2^2:2,0.0,,1.0,3.0,1.0,5.0,1.0,100.0,11.0,11.0,2.0,0.0,0.0,1,7.0,1~GD,5.0,0.0,20180721120448.0,11079^11078,,1.25,0.0
