,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
68,4.0,11.5,0.0,-11.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,,,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,80.0,122,110,0,1,1.0,59.0,1.0,20181026020543.0,11077.0,17.0,0.004
69,4.0,11.5,0.8695652173913043,-11.5,0.8,240.5,0.7142857142857143,240.5,1.0,8.0,,,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,80.0,122,110,0,1,2.0,6.0,0.0,20181026020544.0,11077.0,17.0,0.004
70,4.0,11.5,0.8695652173913043,-11.5,0.8,240.5,0.7142857142857143,240.5,1.0,8.0,^,1.0,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,2.0,6.0,0.0,20181026020551.0,21086^11077,17.0,0.004
71,4.0,11.5,0.8695652173913043,-11.5,0.8,240.5,0.7142857142857143,240.5,1.0,8.0,^,0.0,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,80.0,122,110,0,1,2.0,6.0,0.0,20181026020552.0,21086^11077,17.0,0.004
72,4.0,11.5,0.8695652173913043,-11.5,0.8,240.5,0.7142857142857143,240.5,1.0,8.0,^,1.0,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,2.0,6.0,0.0,20181026020557.0,21086^11077,17.0,0.004
73,4.0,11.5,0.8695652173913043,-11.5,0.8,240.5,0.7142857142857143,240.5,1.0,8.0,^,1.0,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,2.0,6.0,1.0,20181026020604.0,21086^11077,17.0,0.004
74,4.0,11.5,0.0,-11.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,,1.0,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,1.0,59.0,1.0,20181026020610.0,11094.0,17.0,0.004
75,4.0,10.5,0.0,-10.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,,1.0,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,1.0,59.0,1.0,20181026020611.0,21077.0,17.0,0.004
76,4.0,10.5,0.0,-10.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,,1.0,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,1.0,50.0,1.0,20181026020619.0,21077.0,17.0,0.004
77,4.0,10.5,0.0,-10.5,0.0,240.5,0.7142857142857143,240.5,1.0,1.0,,1.0,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,4.0,77.8,80.0,122,110,0,1,1.0,47.0,1.0,20181026020623.0,21095.0,17.0,0.004
