,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
92,44.0,5.0,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,2:2^,87.0,90.0,0,1,0.0,13.0,0.0,20181107151725.0,11077.0
93,44.0,5.0,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,2:2^,87.0,90.0,0,1,0.0,12.0,0.0,20181107151732.0,11077.0
94,44.0,5.0,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,^,87.0,90.0,0,1,0.0,12.0,0.0,20181107151734.0,11086^21077
95,44.0,5.0,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,1:2,87.0,90.0,0,1,0.0,12.0,0.0,20181107151747.0,21078.0
96,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,1:2^2:2,87.0,91.0,0,1,0.0,12.0,0.0,20181107151805.0,21079^21078
97,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,2:2^,87.0,92.0,0,1,0.0,12.0,0.0,20181107151826.0,21079^11077
98,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,2:2^,87.0,92.0,0,1,0.0,12.0,1.0,20181107151829.0,21079^11077
99,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,2:2^,87.0,92.0,0,1,0.0,11.0,1.0,20181107151829.0,21079^11077
100,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,,87.0,92.0,0,1,0.0,11.0,1.0,20181107151830.0,11077.0
101,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,,87.0,92.0,0,1,0.0,2.0,1.0,20181107151838.0,11077.0
102,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,,87.0,92.0,0,1,0.0,0.0,1.0,20181107151838.0,11077.0
103,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,,87.0,92.0,0,1,0.0,0.0,0.0,20181107151842.0,11077.0
104,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,,87.0,92.0,0,1,0.0,0.0,0.0,20181107151844.0,11077.0
105,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,,87.0,92.0,0,1,0.0,0.0,0.0,20181107151904.0,11077.0
106,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,,87.0,92.0,0,1,0.0,0.0,0.0,20181107151959.0,11077.0
107,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,,87.0,92.0,0,1,0.0,0.0,0.0,20181107151959.0,1084.0
108,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,,87.0,92.0,0,1,0.0,0.0,0.0,20181107152005.0,1084.0
109,44.0,5.0,OT 1,Overtime 1,-4.5,0.0,4.5,0.0,1.0,5.0,,87.0,92.0,0,1,0.0,0.0,0.0,20181107152005.0,1084.0
