,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
122,,,,,-4.5,0.8,4.5,0.87,143.5,0.83,144.5,0.83,143.5,,0.0,2:2,43.0,42.0,0.0,1,4.0,38.0,1.0,20180721013543.0,21079.0,0.77,0.91
123,,,,,-4.5,0.8,4.5,0.87,143.5,0.83,143.5,0.83,143.5,,0.0,2:2,43.0,42.0,0.0,1,4.0,30.0,1.0,20180721013551.0,21079.0,0.77,0.91
124,,,,,-4.5,0.8,4.5,0.87,143.5,0.8,143.5,0.83,143.5,,0.0,2:2,43.0,42.0,0.0,1,4.0,30.0,1.0,20180721013551.0,21079.0,0.77,0.91
125,,,,,-4.5,0.8,4.5,0.87,143.5,0.8,143.5,0.87,143.5,,0.0,2:2,43.0,42.0,0.0,1,4.0,22.0,1.0,20180721013600.0,21079.0,0.77,0.91
126,,,,,-4.5,0.8,4.5,0.87,142.5,0.83,143.5,0.83,142.5,,0.0,2:2,43.0,42.0,0.0,1,4.0,22.0,1.0,20180721013600.0,21079.0,0.77,0.91
127,,,,,-4.5,0.8,4.5,0.87,142.5,0.83,142.5,0.83,142.5,,0.0,2:2,43.0,42.0,0.0,1,4.0,14.0,1.0,20180721013608.0,21079.0,0.77,0.91
128,,,,,-4.5,0.8,4.5,0.87,142.5,0.83,142.5,0.83,142.5,,0.0,2:2,43.0,42.0,0.0,1,4.0,14.0,1.0,20180721013608.0,21079.0,0.77,0.91
129,,,,,-4.5,0.8,4.5,0.87,142.5,0.83,142.5,0.83,142.5,,0.0,2:2,43.0,42.0,0.0,1,4.0,12.0,1.0,20180721013610.0,21079.0,0.77,0.91
130,,,,,-4.5,0.8,4.5,0.87,142.5,0.8,142.5,0.87,142.5,,0.0,,43.0,42.0,0.0,1,4.0,12.0,1.0,20180721013610.0,21094.0,0.77,0.91
131,,,,,-4.5,0.8,4.5,0.87,142.5,0.8,142.5,0.87,142.5,,0.0,,43.0,42.0,0.0,1,4.0,10.0,1.0,20180721013612.0,21094.0,0.77,0.91
132,,,,,-4.5,0.8,4.5,0.87,141.5,0.91,142.5,0.77,141.5,,0.0,,43.0,42.0,0.0,1,4.0,10.0,1.0,20180721013612.0,21077.0,0.77,0.91
133,,,,,-4.5,0.8,4.5,0.87,141.5,0.91,141.5,0.77,141.5,,0.0,,43.0,42.0,0.0,1,4.0,8.0,1.0,20180721013615.0,21077.0,0.77,0.91
134,,,,,-4.5,0.8,4.5,0.87,141.5,0.83,141.5,0.77,141.5,,0.0,,43.0,42.0,0.0,1,4.0,8.0,1.0,20180721013615.0,21094.0,0.77,0.91
135,,,,,-4.5,0.8,4.5,0.87,141.5,0.83,141.5,0.83,141.5,,0.0,,43.0,42.0,0.0,1,4.0,4.0,1.0,20180721013617.0,21094.0,0.77,0.91
136,,,,,-3.5,0.8,3.5,0.87,141.5,0.83,141.5,0.83,-3.5,,0.0,,43.0,42.0,0.0,1,4.0,4.0,1.0,20180721013617.0,21094.0,0.77,0.91
