,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
83,2.0,-7.5,0.8695652173913043,7.5,0.8695652173913043,138.5,0.9523809523809523,138.5,0.8,22.0,2:2^,9.0,6.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,61,0,1,5.0,47.0,1.0,20181110020921.0,11080^21077,0.09523809523809523,6.5
84,2.0,-7.5,0.8695652173913043,7.5,0.8695652173913043,138.5,0.9090909090909091,138.5,0.8333333333333334,22.0,,9.0,6.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,61,0,1,5.0,46.0,1.0,20181110020922.0,21077.0,0.09523809523809523,6.5
85,2.0,-7.5,0.8695652173913043,7.5,0.8695652173913043,138.5,0.9090909090909091,138.5,0.8333333333333334,22.0,,9.0,6.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,61,0,1,5.0,37.0,1.0,20181110020931.0,21077.0,0.09523809523809523,6.5
86,2.0,-7.5,0.8695652173913043,7.5,0.8695652173913043,138.5,0.9090909090909091,138.5,0.8333333333333334,22.0,,9.0,6.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,61,0,1,5.0,28.0,1.0,20181110020940.0,21077.0,0.09523809523809523,6.5
87,2.0,-9.5,1.0,9.5,0.7692307692307693,139.5,0.9523809523809523,139.5,0.8,21.0,^,9.0,7.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,64,0,1,5.0,23.0,1.0,20181110020945.0,21075^11077,0.045454545454545456,11.25
88,2.0,-9.5,1.0,9.5,0.7692307692307693,139.5,0.8,139.5,0.9523809523809523,21.0,,9.0,7.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,64,0,1,5.0,14.0,1.0,20181110020954.0,11077.0,0.04,12.25
89,2.0,-9.5,0.9523809523809523,9.5,0.8,138.5,0.9090909090909091,138.5,0.8333333333333334,21.0,,9.0,7.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,64,0,1,5.0,5.0,1.0,20181110021003.0,11077.0,0.04,12.25
90,2.0,-9.5,0.9523809523809523,9.5,0.8,138.5,0.7692307692307693,138.5,1.0,19.0,,9.0,7.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,64,0,1,4.0,57.0,1.0,20181110021010.0,11094.0,0.04,12.25
91,2.0,-9.5,0.9523809523809523,9.5,0.8,138.5,0.7692307692307693,138.5,1.0,19.0,,9.0,7.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,64,0,1,4.0,57.0,0.0,20181110021011.0,11094.0,0.04,12.25
92,2.0,-10.5,0.9523809523809523,10.5,0.8,138.5,0.7692307692307693,138.5,1.0,19.0,,9.0,7.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,64,0,1,4.0,57.0,0.0,20181110021013.0,21077.0,0.025,15.0
93,2.0,-10.5,0.9523809523809523,10.5,0.8,138.5,0.7692307692307693,138.5,1.0,19.0,,9.0,7.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,64,0,1,4.0,57.0,1.0,20181110021033.0,21077.0,0.025,15.0
94,2.0,-12.5,1.0,12.5,0.7692307692307693,140.5,0.8,140.5,0.9523809523809523,19.0,^,9.0,8.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,83.3,72.2,54.0,67,0,1,4.0,48.0,1.0,20181110021041.0,21075^11077,0.01,17.0
