,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
120,44.0,5.0,第4节,12.5,0.83,-12.5,0.83,12.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,97,111,1.0,1,2.0,25.0,0,,21075.0
121,44.0,5.0,第4节,12.5,0.83,-12.5,0.83,12.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,100,111,1.0,1,2.0,25.0,0,,11077.0
122,44.0,5.0,第4节,12.5,0.83,-12.5,0.83,12.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,100,111,1.0,1,2.0,21.0,0,,11077.0
123,44.0,5.0,第4节,12.5,0.83,-12.5,0.83,12.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,100,111,1.0,1,2.0,21.0,0,,21077.0
124,44.0,5.0,第4节,12.5,0.83,-12.5,0.83,12.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,100,111,1.0,1,2.0,1.0,0,,21077.0
125,44.0,5.0,第4节,12.5,0.8,-11.5,0.87,-11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,100,111,1.0,1,2.0,1.0,0,,21077.0
126,44.0,5.0,第4节,11.5,0.77,-11.5,0.91,11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,100,111,1.0,1,1.0,51.0,0,,21077.0
127,44.0,5.0,第4节,11.5,0.77,-10.5,0.91,-10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,100,111,1.0,1,1.0,51.0,0,,21077.0
128,44.0,5.0,第4节,10.5,0.77,-10.5,0.91,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,100,111,1.0,1,1.0,42.0,0,,21077.0
129,44.0,5.0,第4节,10.5,0.77,-10.5,0.91,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,100,111,1.0,1,1.0,42.0,0,,21074.0
130,44.0,5.0,第4节,10.5,0.77,-10.5,0.91,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,111,1.0,1,1.0,42.0,0,,11077.0
131,44.0,5.0,第4节,10.5,0.77,-10.5,0.91,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,111,1.0,1,1.0,41.0,0,,11077.0
132,44.0,5.0,第4节,10.5,0.77,-10.5,0.91,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,111,1.0,1,1.0,41.0,0,,11077.0
133,44.0,5.0,第4节,10.5,0.77,-10.5,0.91,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,111,1.0,1,1.0,39.0,0,,11077.0
134,44.0,5.0,第4节,10.5,0.77,-10.5,0.91,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,111,1.0,1,1.0,39.0,0,,11077.0
